"ble_offset","app_field","sram","modbus","herkunft","nur"
"","","0x20015082","34204","pack3_mos_status","nur Modbus"
"","","0x20015084","34205","pack3_max_cell_voltage","nur Modbus"
"","","0x20015086","34206","pack3_min_cell_voltage","nur Modbus"
"","","0x2001508C","34207","pack3_protect1","nur Modbus"
"","","0x2001508E","34208","pack3_protect2","nur Modbus"
"","","0x20015090","34209","pack3_bms_reserved_5a","nur Modbus"
"","","0x20015092","34210","pack3_bms_version","nur Modbus"
"","","0x200150BE","34211","pack3_temp_1","nur Modbus"
"","","0x200150C0","34212","pack3_temp_2","nur Modbus"
"","","0x200150B4","34213","pack3_ntc_block","nur Modbus"
"","","0x200150C2","34217","pack3_ntc_unused","nur Modbus"
"","","0x20015094","34218","pack3_cell_voltage_1_16","nur Modbus"
"","","0x200150D4","34300","pack4_bat_volt","nur Modbus"
"","","0x200150D6","34301","pack4_bat_curr","nur Modbus"
"","","0x200150D8","34302","pack4_soc","nur Modbus"
"","","0x200150DA","34303","pack4_cycle_count","nur Modbus"
"","","0x200150E2","34304","pack4_mos_status","nur Modbus"
"","","0x200150E4","34305","pack4_max_cell_voltage","nur Modbus"
"","","0x200150E6","34306","pack4_min_cell_voltage","nur Modbus"
"","","0x200150EC","34307","pack4_protect1","nur Modbus"
"","","0x200150EE","34308","pack4_protect2","nur Modbus"
"","","0x200150F0","34309","pack4_bms_reserved_5a","nur Modbus"
"","","0x200150F2","34310","pack4_bms_version","nur Modbus"
"","","0x2001511E","34311","pack4_temp_1","nur Modbus"
"","","0x20015120","34312","pack4_temp_2","nur Modbus"
"","","0x20015114","34313","pack4_ntc_block","nur Modbus"
"","","0x20015122","34317","pack4_ntc_unused","nur Modbus"
"","","0x200150F4","34318","pack4_cell_voltage_1_16","nur Modbus"
"","","0x20015134","34400","pack5_bat_volt","nur Modbus"
"","","0x20015136","34401","pack5_bat_curr","nur Modbus"
"","","0x20015138","34402","pack5_soc","nur Modbus"
"","","0x2001513A","34403","pack5_cycle_count","nur Modbus"
"","","0x20015142","34404","pack5_mos_status","nur Modbus"
"","","0x20015144","34405","pack5_max_cell_voltage","nur Modbus"
"","","0x20015146","34406","pack5_min_cell_voltage","nur Modbus"
"","","0x2001514C","34407","pack5_protect1","nur Modbus"
"","","0x2001514E","34408","pack5_protect2","nur Modbus"
"","","0x20015150","34409","pack5_bms_reserved_5a","nur Modbus"
"","","0x20015152","34410","pack5_bms_version","nur Modbus"
