timestamp,Register,raw_uint16,raw_int16,hex,name,interpreted
23:40:07,34225,3331,3331,0x0D03,p3_cell8,3.33 V
23:40:07,34226,3330,3330,0x0D02,p3_cell9,3.33 V
23:40:07,34227,3331,3331,0x0D03,p3_cell10,3.33 V
23:40:07,34228,3330,3330,0x0D02,p3_cell11,3.33 V
23:40:07,34229,3330,3330,0x0D02,p3_cell12,3.33 V
23:40:07,34230,3330,3330,0x0D02,p3_cell13,3.33 V
23:40:07,34231,3330,3330,0x0D02,p3_cell14,3.33 V
23:40:07,34232,3330,3330,0x0D02,p3_cell15,3.33 V
23:40:07,34233,3330,3330,0x0D02,p3_cell16,3.33 V
23:40:07,34300,5327,5327,0x14CF,p4_bat_volt,53.27 V
23:40:07,34301,0,0,0x0000,p4_bat_curr,0 A
23:40:07,34302,895,895,0x037F,p4_bat_soc,89.50 %
23:40:07,34303,16,16,0x0010,p4_cycle_cnt,16
23:40:07,34304,0,0,0x0000,p4_max_cell_v,0 V
23:40:07,34305,3331,3331,0x0D03,?,
23:40:07,34306,3328,3328,0x0D00,p4_min_cell_v,3.33 V
23:40:07,34307,0,0,0x0000,p4_max_ntc,0 °C
23:40:07,34308,0,0,0x0000,p4_protect1,0x0000
23:40:07,34309,0,0,0x0000,p4_protect2,0x0000
23:40:07,34310,118,118,0x0076,p4_bms_ver,118
23:40:07,34311,308,308,0x0134,p4_ntc0,30.80 °C
23:40:07,34312,247,247,0x00F7,p4_ntc1,24.70 °C
23:40:07,34313,236,236,0x00EC,p4_ntc2,23.60 °C
23:40:07,34314,239,239,0x00EF,p4_ntc3,23.90 °C
23:40:07,34315,234,234,0x00EA,p4_mos_ntc,23.40 °C
23:40:07,34316,239,239,0x00EF,p4_env_ntc,23.90 °C
23:40:07,34317,0,0,0x0000,p4_avg_ntc,0 °C
23:40:07,34318,3329,3329,0x0D01,p4_cell1,3.33 V
23:40:07,34319,3330,3330,0x0D02,p4_cell2,3.33 V
23:40:07,34320,3330,3330,0x0D02,p4_cell3,3.33 V
23:40:07,34321,3330,3330,0x0D02,p4_cell4,3.33 V
23:40:07,34322,3329,3329,0x0D01,p4_cell5,3.33 V
23:40:07,34323,3331,3331,0x0D03,p4_cell6,3.33 V
23:40:07,34324,3329,3329,0x0D01,p4_cell7,3.33 V
23:40:07,34325,3331,3331,0x0D03,p4_cell8,3.33 V
23:40:07,34326,3329,3329,0x0D01,p4_cell9,3.33 V
23:40:07,34327,3330,3330,0x0D02,p4_cell10,3.33 V
23:40:07,34328,3330,3330,0x0D02,p4_cell11,3.33 V
23:40:07,34329,3330,3330,0x0D02,p4_cell12,3.33 V
23:40:07,34330,3328,3328,0x0D00,p4_cell13,3.33 V
23:40:07,34331,3331,3331,0x0D03,p4_cell14,3.33 V
23:40:07,34332,3329,3329,0x0D01,p4_cell15,3.33 V
23:40:07,34333,3328,3328,0x0D00,p4_cell16,3.33 V
23:40:07,34400,5328,5328,0x14D0,p5_bat_volt,53.28 V
23:40:07,34401,0,0,0x0000,p5_bat_curr,0 A
23:40:07,34402,947,947,0x03B3,p5_bat_soc,94.70 %
23:40:07,34403,59,59,0x003B,p5_cycle_cnt,59
23:40:07,34404,3,3,0x0003,p5_max_cell_v,0.00 V
23:40:07,34405,3331,3331,0x0D03,?,
23:40:07,34406,3329,3329,0x0D01,p5_min_cell_v,3.33 V
23:40:07,34407,0,0,0x0000,p5_max_ntc,0 °C
23:40:07,34408,0,0,0x0000,p5_protect1,0x0000
23:40:07,34409,0,0,0x0000,p5_protect2,0x0000
23:40:07,34410,118,118,0x0076,p5_bms_ver,118
23:40:07,34411,307,307,0x0133,p5_ntc0,30.70 °C
23:40:07,34412,241,241,0x00F1,p5_ntc1,24.10 °C
23:40:07,34413,231,231,0x00E7,p5_ntc2,23.10 °C
23:40:07,34414,231,231,0x00E7,p5_ntc3,23.10 °C
23:40:07,34415,230,230,0x00E6,p5_mos_ntc,23 °C
23:40:07,34416,229,229,0x00E5,p5_env_ntc,22.90 °C
23:40:07,34417,0,0,0x0000,p5_avg_ntc,0 °C
23:40:07,34418,3329,3329,0x0D01,p5_cell1,3.33 V
23:40:07,34419,3329,3329,0x0D01,p5_cell2,3.33 V
23:40:07,34420,3329,3329,0x0D01,p5_cell3,3.33 V
23:40:07,34421,3331,3331,0x0D03,p5_cell4,3.33 V
23:40:07,34422,3330,3330,0x0D02,p5_cell5,3.33 V
23:40:07,34423,3330,3330,0x0D02,p5_cell6,3.33 V
23:40:07,34424,3330,3330,0x0D02,p5_cell7,3.33 V
23:40:07,34425,3330,3330,0x0D02,p5_cell8,3.33 V
23:40:07,34426,3330,3330,0x0D02,p5_cell9,3.33 V
23:40:07,34427,3331,3331,0x0D03,p5_cell10,3.33 V
23:40:07,34428,3330,3330,0x0D02,p5_cell11,3.33 V
23:40:07,34429,3330,3330,0x0D02,p5_cell12,3.33 V
23:40:07,34430,3330,3330,0x0D02,p5_cell13,3.33 V
23:40:07,34431,3331,3331,0x0D03,p5_cell14,3.33 V
23:40:07,34432,3329,3329,0x0D01,p5_cell15,3.33 V
23:40:07,34433,3329,3329,0x0D01,p5_cell16,3.33 V
23:40:07,34500,5368,5368,0x14F8,p6_bat_volt,53.68 V
23:40:07,34501,0,0,0x0000,p6_bat_curr,0 A
23:40:07,34502,996,996,0x03E4,p6_bat_soc,99.60 %
23:40:07,34503,54,54,0x0036,p6_cycle_cnt,54
23:40:07,34504,0,0,0x0000,p6_max_cell_v,0 V
23:40:07,34505,3388,3388,0x0D3C,?,
23:40:07,34506,3335,3335,0x0D07,p6_min_cell_v,3.33 V
23:40:07,34507,0,0,0x0000,p6_max_ntc,0 °C
23:40:07,34508,0,0,0x0000,p6_protect1,0x0000
23:40:07,34509,0,0,0x0000,p6_protect2,0x0000
23:40:07,34510,118,118,0x0076,p6_bms_ver,118
23:40:07,34511,292,292,0x0124,p6_ntc0,29.20 °C
23:40:07,34512,230,230,0x00E6,p6_ntc1,23 °C
23:40:07,34513,226,226,0x00E2,p6_ntc2,22.60 °C
23:40:07,34514,227,227,0x00E3,p6_ntc3,22.70 °C
23:40:07,34515,224,224,0x00E0,p6_mos_ntc,22.40 °C
23:40:07,34516,227,227,0x00E3,p6_env_ntc,22.70 °C
23:40:07,34517,0,0,0x0000,p6_avg_ntc,0 °C
23:40:07,34518,3351,3351,0x0D17,p6_cell1,3.35 V
23:40:07,34519,3374,3374,0x0D2E,p6_cell2,3.37 V
23:40:07,34520,3351,3351,0x0D17,p6_cell3,3.35 V
23:40:07,34521,3356,3356,0x0D1C,p6_cell4,3.36 V
23:40:07,34522,3335,3335,0x0D07,p6_cell5,3.33 V
23:40:07,34523,3336,3336,0x0D08,p6_cell6,3.34 V
23:40:07,34524,3347,3347,0x0D13,p6_cell7,3.35 V
23:40:07,34525,3353,3353,0x0D19,p6_cell8,3.35 V
23:40:07,34526,3361,3361,0x0D21,p6_cell9,3.36 V
23:40:07,34527,3366,3366,0x0D26,p6_cell10,3.37 V
23:40:07,34528,3345,3345,0x0D11,p6_cell11,3.35 V
23:40:07,34529,3371,3371,0x0D2B,p6_cell12,3.37 V
23:40:07,34530,3371,3371,0x0D2B,p6_cell13,3.37 V
23:40:07,34531,3336,3336,0x0D08,p6_cell14,3.34 V
23:40:07,34532,3344,3344,0x0D10,p6_cell15,3.34 V
23:40:07,34533,3389,3389,0x0D3D,p6_cell16,3.39 V
23:40:07,34600,0,0,0x0000,p7_bat_volt,0 V
23:40:07,34601,0,0,0x0000,p7_bat_curr,0 A
23:40:07,34602,0,0,0x0000,p7_bat_soc,0 %
23:40:07,34603,0,0,0x0000,p7_cycle_cnt,0
23:40:07,34604,0,0,0x0000,p7_max_cell_v,0 V
23:40:07,34605,0,0,0x0000,?,
23:40:07,34606,0,0,0x0000,p7_min_cell_v,0 V
23:40:07,34607,0,0,0x0000,p7_max_ntc,0 °C
23:40:07,34608,0,0,0x0000,p7_protect1,0x0000
23:40:07,34609,0,0,0x0000,p7_protect2,0x0000
23:40:07,34610,0,0,0x0000,p7_bms_ver,0
23:40:07,34611,0,0,0x0000,p7_ntc0,0 °C
23:40:07,34612,0,0,0x0000,p7_ntc1,0 °C
23:40:07,34613,0,0,0x0000,p7_ntc2,0 °C
23:40:07,34614,0,0,0x0000,p7_ntc3,0 °C
23:40:07,34615,0,0,0x0000,p7_mos_ntc,0 °C
23:40:07,34616,0,0,0x0000,p7_env_ntc,0 °C
23:40:07,34617,0,0,0x0000,p7_avg_ntc,0 °C
23:40:07,34618,0,0,0x0000,p7_cell1,0 V
23:40:07,34619,0,0,0x0000,p7_cell2,0 V
23:40:07,34620,0,0,0x0000,p7_cell3,0 V
23:40:07,34621,0,0,0x0000,p7_cell4,0 V
23:40:07,34622,0,0,0x0000,p7_cell5,0 V
23:40:07,34623,0,0,0x0000,p7_cell6,0 V
23:40:07,34624,0,0,0x0000,p7_cell7,0 V
23:40:07,34625,0,0,0x0000,p7_cell8,0 V
23:40:07,34626,0,0,0x0000,p7_cell9,0 V
23:40:07,34627,0,0,0x0000,p7_cell10,0 V
23:40:07,34628,0,0,0x0000,p7_cell11,0 V
23:40:07,34629,0,0,0x0000,p7_cell12,0 V
23:40:07,34630,0,0,0x0000,p7_cell13,0 V
23:40:07,34631,0,0,0x0000,p7_cell14,0 V
23:40:07,34632,0,0,0x0000,p7_cell15,0 V
23:40:07,34633,0,0,0x0000,p7_cell16,0 V
23:40:07,35000,246,246,0x00F6,env_temp,24.60 °C
23:40:07,35001,248,248,0x00F8,radiator_temp1,24.80 °C
23:40:07,35002,248,248,0x00F8,radiator_temp2,24.80 °C
23:40:07,35010,253,253,0x00FD,max_cell_temp,25.30 °C
23:40:07,35011,249,249,0x00F9,?,
23:40:07,35100,1,1,0x0001,inverter_state,1
23:40:07,35110,576,576,0x0240,?,
23:40:07,35111,250,250,0x00FA,?,
23:40:07,35112,500,500,0x01F4,?,
23:40:07,36000,0,0,0x0000,alarm_hi,0x0000
23:40:07,36001,0,0,0x0000,alarm_lo,0x0000
23:40:07,36100,0,0,0x0000,fault_0,0x0000
23:40:07,36101,0,0,0x0000,fault_1,0x0000
23:40:07,36102,0,0,0x0000,fault_2,0x0000
23:40:07,36103,2390,2390,0x0956,fault_3,0x0956
23:40:07,37000,1,1,0x0001,?,
23:40:07,37001,0,0,0x0000,?,
23:40:07,37002,0,0,0x0000,?,
23:40:07,37003,0,0,0x0000,?,
23:40:07,37004,0,0,0x0000,ac_current,0 A
23:40:07,37005,88,88,0x0058,?,
23:40:07,37006,250,250,0x00FA,?,
23:40:07,37009,3332,3332,0x0D04,?,
23:40:07,37010,3330,3330,0x0D02,?,
23:40:07,37011,0,0,0x0000,?,
23:40:07,37012,0,0,0x0000,?,
23:40:07,38000,0,0,0x0000,?,
23:40:07,38001,0,0,0x0000,?,
