Register,15:37:13,15:37:20,15:37:28,15:37:35,15:37:43,15:37:50,15:37:57,15:38:05,15:38:12,15:38:20,15:38:27,15:38:34,15:38:42,15:38:49,15:38:57,15:39:04,15:39:11,15:39:19
37011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37013,0,0,0,0,0,0,0,0,16,16,16,16,0,0,0,0,0,
37014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
